mo_i_rana_02uk: 313 utterances, 5051 original words, 5053 normalized words
mo_i_rana_03gm: 301 utterances, 3739 original words, 3792 normalized words
mo_i_rana_04gk: 312 utterances, 4133 original words, 4232 normalized words
ms: --skipped--
myre_01um: 409 utterances, 3872 original words, 3890 normalized words
myre_02uk: 513 utterances, 6179 original words, 6201 normalized words
myre_03gm: 283 utterances, 2846 original words, 2850 normalized words
myre_04gk: 414 utterances, 6768 original words, 6786 normalized words
namdalen_01um: 207 utterances, 1993 original words, 1997 normalized words
namdalen_02uk: 199 utterances, 3310 original words, 3322 normalized words
namdalen_03gm: 234 utterances, 2702 original words, 2704 normalized words
namdalen_04gk: 227 utterances, 2487 original words, 2499 normalized words
narvik_01um: 468 utterances, 3934 original words, 3944 normalized words
narvik_02uk: 395 utterances, 3435 original words, 3439 normalized words
narvik_03gm: 394 utterances, 6121 original words, 6139 normalized words
narvik_04gk: 321 utterances, 4883 original words, 4903 normalized words
nes_01um: 224 utterances, 2763 original words, 2767 normalized words
nes_02uk: 303 utterances, 4873 original words, 4943 normalized words
nes_03gm: 334 utterances, 6109 original words, 6150 normalized words
nes_04gk: 286 utterances, 3971 original words, 3975 normalized words
nissedal_01um: 316 utterances, 5458 original words, 5464 normalized words
nissedal_02uk: 183 utterances, 2401 original words, 2421 normalized words
nissedal_03gm: 249 utterances, 4630 original words, 4650 normalized words
nissedal_04gk: 222 utterances, 2313 original words, 2341 normalized words
oppdal_01um: 273 utterances, 4120 original words, 4134 normalized words
oppdal_02: 300 utterances, 4574 original words, 4594 normalized words
oppdal_02uk: 257 utterances, 2948 original words, 2971 normalized words
oppdal_03gm: 251 utterances, 3297 original words, 3323 normalized words
oppdal_04gk: 240 utterances, 3430 original words, 3452 normalized words
oppdal_10: 243 utterances, 3581 original words, 3597 normalized words
oppdal_24: 260 utterances, 4080 original words, 4094 normalized words
oppdal_31: 320 utterances, 4318 original words, 4324 normalized words
os: --skipped--
ov: --skipped--
pmk: --skipped--
ran: --skipped--
rauma_01um: 278 utterances, 3959 original words, 4007 normalized words
rauma_02uk: 297 utterances, 4486 original words, 4558 normalized words
rauma_03gm: 160 utterances, 2215 original words, 2219 normalized words
rauma_04gk: 227 utterances, 4394 original words, 4408 normalized words
rena_01um: 284 utterances, 2806 original words, 2822 normalized words
rena_02uk: 246 utterances, 2688 original words, 2732 normalized words
rena_03gm: 360 utterances, 6406 original words, 6406 normalized words
rena_04gk: 304 utterances, 5269 original words, 5275 normalized words
roemskog_01um: 395 utterances, 4963 original words, 4971 normalized words
roemskog_02uk: 444 utterances, 5334 original words, 5368 normalized words
roemskog_03gm: 187 utterances, 2872 original words, 2878 normalized words
roemskog_04gk: 175 utterances, 2429 original words, 2433 normalized words
roeros_01um: 301 utterances, 3960 original words, 3986 normalized words
roeros_02uk: 313 utterances, 3153 original words, 3177 normalized words
roeros_03gm: 309 utterances, 5662 original words, 5710 normalized words
roeros_04gk: 265 utterances, 3371 original words, 3371 normalized words
rollag_01um: 244 utterances, 3136 original words, 3138 normalized words
rollag_02uk: 247 utterances, 4299 original words, 4312 normalized words
rollag_03gm: 256 utterances, 3803 original words, 3803 normalized words
rollag_04gk: 234 utterances, 2919 original words, 2921 normalized words
rvf: --skipped--
sb: --skipped--
selbu_01um: 163 utterances, 1689 original words, 1693 normalized words
selbu_02uk: 150 utterances, 1513 original words, 1513 normalized words
selbu_03gm: 239 utterances, 4017 original words, 4073 normalized words
selbu_04gk: 216 utterances, 2310 original words, 2330 normalized words
sirdal_01um: 199 utterances, 3225 original words, 3231 normalized words
sirdal_02uk: 184 utterances, 3810 original words, 3818 normalized words
sirdal_03gm: 180 utterances, 2073 original words, 2075 normalized words
sirdal_04gk: 208 utterances, 3725 original words, 3750 normalized words
skaugdalen_36: 398 utterances, 4734 original words, 4800 normalized words
skaugdalen_37: 331 utterances, 5008 original words, 5028 normalized words
skaugdalen_39: 264 utterances, 3723 original words, 3733 normalized words
skaugdalen_43: 298 utterances, 2354 original words, 2372 normalized words
skreia_01um: 292 utterances, 3388 original words, 3416 normalized words
skreia_02uk: 361 utterances, 5548 original words, 5590 normalized words
skreia_03gm: 214 utterances, 2229 original words, 2229 normalized words
skreia_04gk: 217 utterances, 3053 original words, 3057 normalized words
sl: --skipped--
soemna_01um: 393 utterances, 5160 original words, 5206 normalized words
soemna_02uk: 393 utterances, 4594 original words, 4620 normalized words
soemna_03gm: 301 utterances, 4949 original words, 5015 normalized words
soemna_04gk: 321 utterances, 5559 original words, 5601 normalized words
sokndal_01um: 303 utterances, 4094 original words, 4106 normalized words
sokndal_02uk: 339 utterances, 3639 original words, 3645 normalized words
sokndal_03gm: 286 utterances, 3950 original words, 3950 normalized words
sokndal_04gk: 347 utterances, 4921 original words, 4945 normalized words
speaker#3: --skipped--
speaker#4: --skipped--
