Fileid,D,W,ar,d,er,h,j,jj,l,n,r,s,t,tt,v,vv,w,wv,ww,yr,ä,är,δ
43a,0.0,0.0,0.0,0.0,0.0,0.134021,0.525773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43b,0.0,0.0,0.0,0.0,0.0,0.125,0.347222,0.0,0.0,0.0,0.0,0.0972222,0.0972222,0.0,0.305556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44a,0.0,0.0,0.0,0.0,0.0,0.0948276,0.517241,0.0,0.0,0.0,0.0,0.0,0.0603448,0.0,0.284483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44b,0.0,0.0,0.0,0.0,0.0,0.2,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.855856,0.0,0.0,0.0,0.0900901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763636,0.0,0.0,0.0,0.136364,0.0727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46a,0.0,0.0,0.0945946,0.0,0.0540541,0.0,0.0,0.0,0.0,0.0,0.682432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743243,0.0,0.0,0.0
46b,0.0,0.0,0.114094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.751678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0671141,0.0,0.0,0.0
47a,0.0,0.0,0.0,0.0,0.0,0.0,0.279412,0.0,0.0,0.0,0.0,0.0,0.117647,0.0,0.161765,0.0,0.147059,0.0,0.0,0.0,0.0,0.0,0.0
47b,0.0,0.0,0.0,0.0,0.0,0.147059,0.308824,0.0735294,0.0,0.0,0.0,0.0,0.117647,0.0,0.294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48a,0.0,0.0,0.0,0.0540541,0.0,0.108108,0.0810811,0.0540541,0.0,0.0,0.0,0.0,0.0,0.0,0.310811,0.310811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48b,0.0,0.0,0.0,0.05,0.0,0.05,0.12,0.19,0.0,0.0,0.0,0.0,0.18,0.1,0.07,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49a,0.108108,0.0,0.0,0.135135,0.0,0.108108,0.297297,0.0,0.0,0.0810811,0.0,0.0,0.0,0.0,0.0,0.0,0.216216,0.0,0.0,0.0,0.0,0.0,0.0
49b,0.0,0.0,0.0,0.0,0.0,0.0731707,0.780488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50a,0.0,0.0,0.0,0.0,0.0,0.0,0.162791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.703488
50b,0.0,0.0,0.0,0.0,0.0,0.0,0.111801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782609
